Date,Clicks,Impressions,CTR,Position
2022-10-22,138,8961,1.54%,27.32
2022-10-21,230,11884,1.94%,26.77
2022-10-20,283,13676,2.07%,27.31
2022-10-19,288,15067,1.91%,27.43
2022-10-18,326,16809,1.94%,25.43
2022-10-17,293,16451,1.78%,26.90
2022-10-16,185,14479,1.28%,30.60
2022-10-15,139,10784,1.29%,27.51
2022-10-14,228,13556,1.68%,29.99
2022-10-13,265,14527,1.82%,28.58
2022-10-12,297,13359,2.22%,26.34
2022-10-11,258,13709,1.88%,25.38
2022-10-10,270,14834,1.82%,26.18
2022-10-09,179,13496,1.33%,32.53
2022-10-08,139,57700,0.24%,64.00
2022-10-07,191,11628,1.64%,26.91
2022-10-06,254,13963,1.82%,28.09
2022-10-05,273,15317,1.78%,29.01
2022-10-04,267,15535,1.72%,29.62
2022-10-03,261,19469,1.34%,30.55
2022-10-02,175,14667,1.19%,32.43
2022-10-01,147,8813,1.67%,27.35
2022-09-30,179,15801,1.13%,34.07
2022-09-29,213,15284,1.39%,27.88
2022-09-28,227,13988,1.62%,26.06
2022-09-27,223,13180,1.69%,28.39
2022-09-26,232,15169,1.53%,31.83
2022-09-25,148,12268,1.21%,31.39
2022-09-24,136,8981,1.51%,28.64
2022-09-23,178,10916,1.63%,28.45
2022-09-22,236,13248,1.78%,27.49
2022-09-21,212,11733,1.81%,29.02
2022-09-20,282,13448,2.10%,27.47
2022-09-19,309,14783,2.09%,34.08
2022-09-18,184,16084,1.14%,32.24
2022-09-17,140,8422,1.66%,30.53
2022-09-16,223,10864,2.05%,29.51
2022-09-15,278,12156,2.29%,28.53
2022-09-14,293,13967,2.10%,30.80
2022-09-13,278,14796,1.88%,26.39
2022-09-12,256,15027,1.70%,34.21
2022-09-11,165,11887,1.39%,37.56
2022-09-10,138,7256,1.90%,29.27
2022-09-09,199,11719,1.70%,28.48
2022-09-08,294,12382,2.37%,30.37
2022-09-07,286,11895,2.40%,27.76
2022-09-06,268,12613,2.12%,26.36
2022-09-05,234,13320,1.76%,30.93
2022-09-04,206,14585,1.41%,34.65
2022-09-03,209,10229,2.04%,32.72
2022-09-02,258,13178,1.96%,32.84
2022-09-01,213,13126,1.62%,29.10
2022-08-31,219,15950,1.37%,34.49
2022-08-30,233,13091,1.78%,29.70
2022-08-29,278,15517,1.79%,28.40
2022-08-28,152,12498,1.22%,33.65
2022-08-27,143,10002,1.43%,30.87
2022-08-26,202,10212,1.98%,29.72
2022-08-25,244,11318,2.16%,29.34
2022-08-24,224,11483,1.95%,28.51
2022-08-23,289,11181,2.58%,28.13
2022-08-22,250,13710,1.82%,29.59
2022-08-21,167,13517,1.24%,34.98
2022-08-20,133,8136,1.63%,31.55
2022-08-19,181,12546,1.44%,29.71
2022-08-18,247,11109,2.22%,29.03
2022-08-17,261,10969,2.38%,28.13
2022-08-16,252,12627,2.00%,28.08
2022-08-15,272,12914,2.11%,32.17
2022-08-14,178,12111,1.47%,36.31
2022-08-13,98,7764,1.26%,32.80
2022-08-12,179,10324,1.73%,28.25
2022-08-11,237,12257,1.93%,28.95
2022-08-10,236,11282,2.09%,28.33
2022-08-09,258,14293,1.81%,30.77
2022-08-08,270,12786,2.11%,29.95
2022-08-07,158,10044,1.57%,31.82
2022-08-06,112,6617,1.69%,28.66
2022-08-05,193,9888,1.95%,28.60
2022-08-04,244,10170,2.40%,26.77
2022-08-03,249,10809,2.30%,25.45
2022-08-02,225,13047,1.72%,28.00
2022-08-01,246,13361,1.84%,30.98
2022-07-31,155,14189,1.09%,38.40
2022-07-30,121,7042,1.72%,31.43
2022-07-29,160,9400,1.70%,30.36
2022-07-28,228,11732,1.94%,28.93
2022-07-27,249,10051,2.48%,27.11
2022-07-26,239,9985,2.39%,27.16
2022-07-25,239,12095,1.98%,27.88
2022-07-24,147,10313,1.43%,34.63
2022-07-23,112,6319,1.77%,30.00
2022-07-22,172,9313,1.85%,30.42
2022-07-21,207,9106,2.27%,29.68
2022-07-20,250,11162,2.24%,28.18
2022-07-19,246,10788,2.28%,29.69
2022-07-18,226,11363,1.99%,29.77
2022-07-17,131,10348,1.27%,35.18
2022-07-16,112,7251,1.54%,31.18
2022-07-15,177,9653,1.83%,30.96
2022-07-14,200,11125,1.80%,32.43
2022-07-13,213,9765,2.18%,29.13
2022-07-12,230,10682,2.15%,30.44
2022-07-11,238,11999,1.98%,29.44
2022-07-10,142,10187,1.39%,36.70
2022-07-09,95,6382,1.49%,30.39
2022-07-08,166,8569,1.94%,28.66
2022-07-07,237,10547,2.25%,27.68
2022-07-06,219,11096,1.97%,28.59
2022-07-05,214,12319,1.74%,30.08
2022-07-04,188,12996,1.45%,31.53
2022-07-03,124,9141,1.36%,32.37
2022-07-02,109,6848,1.59%,28.79
2022-07-01,144,9251,1.56%,28.46
2022-06-30,209,13729,1.52%,31.77
2022-06-29,240,11423,2.10%,30.51
2022-06-28,226,12909,1.75%,28.92
2022-06-27,202,11915,1.70%,32.50
2022-06-26,135,8003,1.69%,32.41
2022-06-25,99,6438,1.54%,30.71
2022-06-24,168,7722,2.18%,27.22
2022-06-23,225,8615,2.61%,26.66
2022-06-22,236,9457,2.50%,28.00
2022-06-21,269,12563,2.14%,25.75
2022-06-20,266,10649,2.50%,30.99
2022-06-19,154,8345,1.85%,34.47
2022-06-18,114,6393,1.78%,28.44
2022-06-17,184,8134,2.26%,27.77
2022-06-16,265,10111,2.62%,29.71
2022-06-15,230,9656,2.38%,28.99
2022-06-14,231,10556,2.19%,30.01
2022-06-13,165,9560,1.73%,32.26
2022-06-12,134,9177,1.46%,37.14
2022-06-11,119,6799,1.75%,33.73
2022-06-10,197,10598,1.86%,30.43
2022-06-09,216,9860,2.19%,31.18
2022-06-08,261,10269,2.54%,30.80
2022-06-07,241,9477,2.54%,29.07
2022-06-06,235,10890,2.16%,29.62
2022-06-05,135,8755,1.54%,34.62
2022-06-04,113,6096,1.85%,32.04
2022-06-03,163,8546,1.91%,32.88
2022-06-02,211,9506,2.22%,23.34
2022-06-01,180,9553,1.88%,30.96
2022-05-31,199,12529,1.59%,37.78
2022-05-30,227,10930,2.08%,31.26
2022-05-29,159,10649,1.49%,37.87
2022-05-28,117,6662,1.76%,33.02
2022-05-27,168,7667,2.19%,31.17
2022-05-26,215,9566,2.25%,32.00
2022-05-25,197,9072,2.17%,31.35
2022-05-24,198,8268,2.39%,32.12
2022-05-23,193,9837,1.96%,31.82
2022-05-22,158,10490,1.51%,33.93
2022-05-21,130,5502,2.36%,33.61
2022-05-20,171,8252,2.07%,33.41
2022-05-19,187,10219,1.83%,31.69
2022-05-18,166,8700,1.91%,32.14
2022-05-17,201,7757,2.59%,28.20
2022-05-16,200,9530,2.10%,32.97
2022-05-15,143,9714,1.47%,32.35
2022-05-14,98,5750,1.70%,35.39
2022-05-13,148,7254,2.04%,33.70
2022-05-12,223,7358,3.03%,30.70
2022-05-11,176,7550,2.33%,30.10
2022-05-10,107,5763,1.86%,29.60
2022-05-09,100,5543,1.80%,33.80
2022-05-08,88,5312,1.66%,34.10
2022-05-07,80,4494,1.78%,32.30
2022-05-06,128,5707,2.24%,29.09
2022-05-05,158,7306,2.16%,29.74
2022-05-04,178,7935,2.24%,31.27
2022-05-03,124,6516,1.90%,29.88
2022-05-02,119,6015,1.98%,32.92
2022-05-01,77,5398,1.43%,35.17
2022-04-30,95,6883,1.38%,35.12
2022-04-29,145,9182,1.58%,39.30
2022-04-28,179,8405,2.13%,32.16
2022-04-27,194,6404,3.03%,27.05
2022-04-26,206,8351,2.47%,32.07
2022-04-25,184,7141,2.58%,29.29
2022-04-24,130,6315,2.06%,33.85
2022-04-23,97,4558,2.13%,31.57
2022-04-22,139,6939,2.00%,25.54
2022-04-21,196,6669,2.94%,28.37
2022-04-20,191,7033,2.72%,27.01
2022-04-19,197,9779,2.01%,26.75
2022-04-18,204,7856,2.60%,27.13
2022-04-17,157,6517,2.41%,31.79
2022-04-16,100,4601,2.17%,29.67
2022-04-15,137,5880,2.33%,25.60
2022-04-14,214,7278,2.94%,26.60
2022-04-13,201,6962,2.89%,26.08
2022-04-12,193,7205,2.68%,27.41
2022-04-11,191,7537,2.53%,28.95
2022-04-10,108,6264,1.72%,28.46
2022-04-09,119,4713,2.52%,28.06
2022-04-08,154,7662,2.01%,31.31
2022-04-07,199,7100,2.80%,24.06
2022-04-06,224,7219,3.10%,25.27
2022-04-05,205,8275,2.48%,26.61
2022-04-04,193,7751,2.49%,27.41
2022-04-03,123,5965,2.06%,29.75
2022-04-02,112,4859,2.31%,28.36
2022-04-01,146,6519,2.24%,27.08
2022-03-31,218,8335,2.62%,30.11
2022-03-30,213,8595,2.48%,29.56
2022-03-29,223,8445,2.64%,26.18
2022-03-28,198,7021,2.82%,25.97
2022-03-27,150,5912,2.54%,27.70
2022-03-26,108,4812,2.24%,28.46
2022-03-25,177,8708,2.03%,25.94
2022-03-24,212,6617,3.20%,25.15
2022-03-23,177,6985,2.53%,23.89
2022-03-22,197,6703,2.94%,27.02
2022-03-21,199,6528,3.05%,25.40
2022-03-20,149,5835,2.55%,29.65
2022-03-19,106,5161,2.05%,30.78
2022-03-18,178,7123,2.50%,26.00
2022-03-17,186,6754,2.75%,24.38
2022-03-16,199,8119,2.45%,28.37
2022-03-15,166,8678,1.91%,27.21
2022-03-14,192,8450,2.27%,29.88
2022-03-13,112,8111,1.38%,38.33
2022-03-12,115,6508,1.77%,30.73
2022-03-11,150,6763,2.22%,27.15
2022-03-10,198,7860,2.52%,29.46
2022-03-09,196,7885,2.49%,27.61
2022-03-08,97,6845,1.42%,30.83
2022-03-07,108,6341,1.70%,34.56
2022-03-06,101,7796,1.30%,32.57
2022-03-05,113,6883,1.64%,32.03
2022-03-04,104,8023,1.30%,30.76
2022-03-03,135,7942,1.70%,29.99
2022-03-02,150,7772,1.93%,29.84
2022-03-01,156,9741,1.60%,28.70
2022-02-28,141,8059,1.75%,33.16
2022-02-27,110,8593,1.28%,34.17
2022-02-26,93,5539,1.68%,30.29
2022-02-25,92,6779,1.36%,30.76
2022-02-24,117,8979,1.30%,31.74
2022-02-23,155,8582,1.81%,31.84
2022-02-22,186,9626,1.93%,32.15
2022-02-21,188,10648,1.77%,29.47
2022-02-20,196,11014,1.78%,31.63
2022-02-19,142,8509,1.67%,32.07
2022-02-18,122,8310,1.47%,31.40
2022-02-17,199,10280,1.94%,28.24
2022-02-16,242,8513,2.84%,27.07
2022-02-15,183,9194,1.99%,31.08
2022-02-14,200,9099,2.20%,31.56
2022-02-13,140,8455,1.66%,35.17
2022-02-12,106,6322,1.68%,34.82
2022-02-11,161,9056,1.78%,34.83
2022-02-10,204,10065,2.03%,31.81
2022-02-09,176,9347,1.88%,31.22
2022-02-08,187,8191,2.28%,30.27
2022-02-07,183,9931,1.84%,29.56
2022-02-06,162,10035,1.61%,34.24
2022-02-05,110,5338,2.06%,31.01
2022-02-04,168,7547,2.23%,33.38
2022-02-03,192,9012,2.13%,32.32
2022-02-02,187,7999,2.34%,30.95
2022-02-01,224,8799,2.55%,31.84
2022-01-31,214,8673,2.47%,32.64
2022-01-30,159,9824,1.62%,37.33
2022-01-29,139,5413,2.57%,31.24
2022-01-28,160,7192,2.22%,30.50
2022-01-27,220,8231,2.67%,28.98
2022-01-26,240,8918,2.69%,31.24
2022-01-25,216,9032,2.39%,31.47
2022-01-24,253,11320,2.23%,27.24
2022-01-23,172,8298,2.07%,33.93
2022-01-22,138,5472,2.52%,31.57
2022-01-21,170,6319,2.69%,29.06
2022-01-20,246,9507,2.59%,28.11
2022-01-19,186,8870,2.10%,32.63
2022-01-18,222,9114,2.44%,31.47
2022-01-17,233,11139,2.09%,34.79
2022-01-16,153,7867,1.94%,34.07
2022-01-15,137,5681,2.41%,30.82
2022-01-14,193,8287,2.33%,32.65
2022-01-13,218,9025,2.42%,26.27
2022-01-12,228,8411,2.71%,27.33
2022-01-11,211,8075,2.61%,28.95
2022-01-10,205,8647,2.37%,32.61
2022-01-09,141,8497,1.66%,31.48
2022-01-08,123,6249,1.97%,32.50
2022-01-07,106,5290,2.00%,32.68
2022-01-06,103,5353,1.92%,33.63
2022-01-05,107,5841,1.83%,32.02
2022-01-04,106,6746,1.57%,34.56
2022-01-03,124,6477,1.91%,32.35
2022-01-02,95,6545,1.45%,35.95
2022-01-01,69,4278,1.61%,34.40
2021-12-31,40,4547,0.88%,39.33
2021-12-30,98,5805,1.69%,35.34
2021-12-29,129,6332,2.04%,30.86
2021-12-28,123,8100,1.52%,34.80
2021-12-27,145,7369,1.97%,30.03
2021-12-26,107,8480,1.26%,35.75
2021-12-25,94,6117,1.54%,34.19
2021-12-24,137,7064,1.94%,32.41
2021-12-23,174,7287,2.39%,29.10
2021-12-22,178,9029,1.97%,28.43
2021-12-21,171,7117,2.40%,28.23
2021-12-20,192,8248,2.33%,29.06
2021-12-19,141,8181,1.72%,31.89
2021-12-18,111,5173,2.15%,32.82
2021-12-17,172,8586,2.00%,36.03
2021-12-16,173,9064,1.91%,28.58
2021-12-15,181,8368,2.16%,25.84
2021-12-14,201,7455,2.70%,28.20
2021-12-13,210,7458,2.82%,27.93
2021-12-12,140,7705,1.82%,30.66
2021-12-11,102,5702,1.79%,30.36
2021-12-10,136,7421,1.83%,27.93
2021-12-09,201,8599,2.34%,28.38
2021-12-08,199,8939,2.23%,29.32
2021-12-07,205,8398,2.44%,29.08
2021-12-06,223,10377,2.15%,30.90
2021-12-05,160,10065,1.59%,32.08
2021-12-04,100,6410,1.56%,31.39
2021-12-03,145,7587,1.91%,31.30
2021-12-02,218,8108,2.69%,27.11
2021-12-01,196,8893,2.20%,30.60
2021-11-30,204,10686,1.91%,33.90
2021-11-29,227,10408,2.18%,32.88
2021-11-28,129,8231,1.57%,32.48
2021-11-27,133,6542,2.03%,33.73
2021-11-26,157,8442,1.86%,32.58
2021-11-25,214,8465,2.53%,27.08
2021-11-24,195,8726,2.23%,28.53
2021-11-23,217,9201,2.36%,30.11
2021-11-22,217,10442,2.08%,27.97
2021-11-21,182,10532,1.73%,34.90
2021-11-20,108,7246,1.49%,34.33
2021-11-19,151,7299,2.07%,28.50
2021-11-18,203,7928,2.56%,25.40
2021-11-17,224,9120,2.46%,27.93
2021-11-16,202,9697,2.08%,27.79
2021-11-15,232,10975,2.11%,29.32
2021-11-14,149,12706,1.17%,33.39
2021-11-13,136,7825,1.74%,34.31
2021-11-12,167,10005,1.67%,34.00
2021-11-11,233,9990,2.33%,32.40
2021-11-10,242,9286,2.61%,29.43
2021-11-09,255,9055,2.82%,27.69
2021-11-08,219,9184,2.38%,28.91
2021-11-07,179,8703,2.06%,31.63
2021-11-06,119,6439,1.85%,32.53
2021-11-05,107,8810,1.21%,34.13
2021-11-04,145,8235,1.76%,33.01
2021-11-03,182,10214,1.78%,31.09
2021-11-02,191,10119,1.89%,31.32
2021-11-01,225,13190,1.71%,34.36
2021-10-31,132,8639,1.53%,33.93
2021-10-30,121,6250,1.94%,33.83
2021-10-29,166,8692,1.91%,31.36
2021-10-28,214,8240,2.60%,26.70
2021-10-27,248,8831,2.81%,30.11
2021-10-26,241,8443,2.85%,27.99
2021-10-25,248,9367,2.65%,30.51
2021-10-24,169,7937,2.13%,32.56
2021-10-23,116,5703,2.03%,32.75
2021-10-22,174,8038,2.16%,31.05
2021-10-21,220,7610,2.89%,27.43
2021-10-20,214,9068,2.36%,30.20
2021-10-19,218,11112,1.96%,31.64
2021-10-18,218,9534,2.29%,29.83
2021-10-17,144,8647,1.67%,32.06
2021-10-16,130,6113,2.13%,33.71
2021-10-15,191,8526,2.24%,31.72
2021-10-14,208,9530,2.18%,32.34
2021-10-13,246,10261,2.40%,29.37
2021-10-12,234,10708,2.19%,30.54
2021-10-11,252,10530,2.39%,29.73
2021-10-10,150,9340,1.61%,34.39
2021-10-09,96,6438,1.49%,34.38
2021-10-08,192,8103,2.37%,29.40
2021-10-07,229,7804,2.93%,27.39
2021-10-06,220,8433,2.61%,28.57
2021-10-05,194,8518,2.28%,27.43
2021-10-04,226,10015,2.26%,31.83
2021-10-03,154,8023,1.92%,33.84
2021-10-02,112,6022,1.86%,33.07
2021-10-01,116,11517,1.01%,33.06
2021-09-30,213,10830,1.97%,31.14
2021-09-29,205,8253,2.48%,27.91
2021-09-28,214,8101,2.64%,26.61
2021-09-27,208,9535,2.18%,29.03
2021-09-26,131,8629,1.52%,38.06
2021-09-25,99,5754,1.72%,32.32
2021-09-24,166,8627,1.92%,29.67
2021-09-23,244,9467,2.58%,31.82
2021-09-22,224,9323,2.40%,28.86
2021-09-21,182,9401,1.94%,28.51
2021-09-20,241,11084,2.17%,29.79
2021-09-19,126,8694,1.45%,34.21
2021-09-18,119,6946,1.71%,33.60
2021-09-17,180,7941,2.27%,28.04
2021-09-16,188,9477,1.98%,31.22
2021-09-15,210,9810,2.14%,31.19
2021-09-14,184,9377,1.96%,30.63
2021-09-13,233,11238,2.07%,31.67
2021-09-12,132,11206,1.18%,35.45
2021-09-11,84,7244,1.16%,31.20
2021-09-10,160,8022,1.99%,27.77
2021-09-09,179,8346,2.14%,27.22
2021-09-08,185,8900,2.08%,27.68
2021-09-07,216,8581,2.52%,27.11
2021-09-06,213,8846,2.41%,26.71
2021-09-05,135,8053,1.68%,33.86
2021-09-04,97,7915,1.23%,29.44
2021-09-03,140,10343,1.35%,27.17
